Price,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
Ticker,AGG,SPY,AGG,SPY,AGG,SPY,AGG,SPY,AGG,SPY
Date,,,,,,,,,,
2000-01-03,,91.61701965332031,,93.38872824137334,,90.63273710440195,,93.38872824137334,,8164300
2000-01-04,,88.03424835205078,,90.75086871711855,,87.96534856018313,,90.41621258518991,,8089800
2000-01-05,,88.1917495727539,,89.15634683370591,,86.45941163471767,,88.15237825598035,,12177900
2000-01-06,,86.77439880371094,,89.13667826297711,,86.77439880371092,,87.95553853334403,,6227200
2000-01-07,,91.81393432617188,,91.81393432617188,,88.23114357845247,,88.38862888604453,,8066500
2000-01-10,,92.12887573242188,,92.54227453378532,,91.36113510131837,,92.12887573242188,,5741700
2000-01-11,,91.02651977539062,,92.03048874350156,,90.39657846206613,,91.85331774912905,,7503700
2000-01-12,,90.12094116210938,,91.08553839167324,,90.00282721563217,,91.08553839167324,,6907700
2000-01-13,,91.34146881103516,,91.81392468419568,,90.25875743504228,,91.00681256754645,,5158300
2000-01-14,,92.58162689208984,,92.8965973429241,,91.95168599042137,,92.30602774760989,,7437300
2000-01-18,,91.85326385498047,,92.36509087174632,,91.45955076516057,,91.55797903761554,,6488500
2000-01-19,,92.601318359375,,92.601318359375,,91.34143647693453,,91.53829302106585,,6157900
2000-01-20,,91.18396759033203,,92.58164930425984,,90.59339785205269,,92.58164930425984,,5800100
2000-01-21,,90.98711395263672,,91.65642634432639,,90.75088604968742,,91.65642634432639,,6244800
2000-01-24,,88.40831756591797,,91.87299445115546,,87.81774764229795,,91.75488046643146,,7896900
2000-01-25,,89.41226196289062,,89.41226196289062,,87.56181004203819,,88.51656449056311,,9942500
2000-01-26,,88.70359802246094,,89.16621110580044,,88.25082777068185,,88.82171200118592,,5158100
2000-01-27,,88.3492431640625,,89.58943975927994,,87.0106182676373,,89.35321183638139,,10922700
2000-01-28,,85.59322357177734,,88.2311012071541,,85.3766813778285,,87.83738812724712,,11916200
2000-01-31,,87.9161376953125,,87.98503748974456,,85.04203198471787,,85.55385902907034,,10768700
2000-02-01,,88.78231048583984,,89.2547662400882,,87.26651494095964,,88.03425554161325,,8419900
